ID_Jugador,Nombre,Fecha_Nac,Nacionalidad,Segunda_Nacionalidad,Altura,Pie_Hábil,Posición,Caracteristica,Club,Liga,Sexo,URL_Foto,URL_Perfil
1,Joaquín Alberto Tapia Vásquez,22/02/2004,Chile,,175,Derecho,Extremo derecho,Criterioso,O'Higgins,Chile,Masculino,https://cdn.resfu.com/img_data/players/medium/3422019.jpg?size=120x&lossy=1,https://es.besoccer.com/jugador/j-tapia-3422019
2,Leandro Paredes,29/06/1994,Argentina,,180,Derecho,Mediocampista de contención,,Boca Juniors,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/81606.jpg?size=120x&lossy=1,https://es.besoccer.com/jugador/l-paredes-81606
3,Tomás Belmonte,27/05/1998,Argentina,Italiana,181,Derecho,Mediocampista mixto,,Boca Juniors,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/359475.jpg?size=120x&lossy=1,https://es.besoccer.com/jugador/t-belmonte-359475
3,Gastón Veron,23/04/2001,Argentina,,184,Derecho,Delantero centro,,Central Cordoba,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/618251.jpg?size=120x&lossy=1,https://www.besoccer.com/player/g-veron-618251
4,Alan Rodriguez,25/01/2000,Uruguay,Italiana,170,Derecho,Mediocampista mixto,,Internacional,Brasileirao,Masculino,https://cdn.resfu.com/img_data/players/medium/365320.jpg?size=120x&lossy=1,https://www.besoccer.com/player/alan-jesusrodriguez-guaglianoni-365320
5,José Herrera,16/04/2003,Argentina,,172,Izquierdo,Extremo derecho,,Fortaleza,Brasileirao,Masculino,https://cdn.resfu.com/img_data/players/medium/3281669.jpg?size=120x&lossy=1,https://www.besoccer.com/player/j-herrera-3281669
6,Tomás Molina,12/04/1995,Argentina,,183,Derecho,Delantero centro,,Argentinos Juniors,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/316865.jpg?size=120x&lossy=1,https://www.besoccer.com/player/tomasmolina-316865
7,Ariel Gamarra,26/02/2003,Paraguay,,175,Derecho,Mediocampista de contención,,Puebla,Mejicana,Masculino,,https://www.besoccer.com/search/ariel-gamarra
8,Kevin Coronel,11/08/2004,Argentina,,168,Derecho,Lateral derecho,,Argentinos Juniors,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/3204515.jpg?size=120x&lossy=1,https://www.besoccer.com/player/kevin-coronel-3204515
9,Sebastián Prieto,09/04/1993,Argentina,,175,Izquierdo,Lateral izquierdo,,Argentinos Juniors,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/236846.jpg?size=120x&lossy=1,https://www.besoccer.com/player/s-prieto-236846
10,Emiliano Viveros,30/09/2002,Argentina,,178,Derecho,Extremo izquierdo,,Argentinos Juniors,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/3140196.jpg?size=120x&lossy=1,https://www.besoccer.com/player/emiliano-viveros-3140196
11,Juan Cardozo,24/02/2004,Paraguay,Argentina,175,Derecho,Mediocampista mixto,,Argentinos Juniors,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/904916.jpg?size=120x&lossy=1,https://www.besoccer.com/player/juan-jose-cardozo-904916
12,Lucas Gómez,17/05/2004,Argentina,,178,Derecho,Mediocampista mixto,,Argentinos Juniors,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/3378886.jpg?size=120x&lossy=1,https://www.besoccer.com/player/lucas-gomez-3378886
13,Natanael Guzman,11/08/1999,Argentina,,171,Derecho,Extremo derecho,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/960040.jpg?size=120x&lossy=1,https://www.besoccer.com/player/e-guzman-960040
14,Rodrigo Gonzalez,14/04/2000,Argentina,,175,Derecho,Lateral derecho,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/849647.jpg?size=120x&lossy=1,https://www.besoccer.com/player/r-gonzalez-849647
15,Elias Torres,02/03/2001,Argentina,,186,Derecho,Delantero centro,,Racing Club,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/924214.jpg?size=120x&lossy=1,https://www.besoccer.com/player/e-torres-924214
16,Tobias Leiva,09/02/2004,Argentina,,183,Derecho,Mediocampista mixto,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/3410640.jpg?size=120x&lossy=1,https://www.besoccer.com/player/tobias-leiva-3410640
17,Ayrton Preciado,17/06/1994,Ecuador,España,181,Derecho,Extremo izquierdo,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/132708.jpg?size=120x&lossy=1,https://www.besoccer.com/player/eduar-preciado-132708
18,Williams Barlasina,29/05/1998,Argentina,,181,Derecho,Arquero,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/132708.jpg?size=120x&lossy=1,https://www.besoccer.com/player/eduar-preciado-132708
19,Giuliano Cerato,10/05/1998,Argentina,Italiana,170,Derecho,Lateral derecho,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/871657.jpg?size=120x&lossy=1,https://www.besoccer.com/player/g-cerato-871657
20,Tiago Serrago,05/02/2004,Argentina,Portugal,175,Derecho,Mediocampista ofensivo,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/3385957.jpg?size=120x&lossy=1,https://www.besoccer.com/player/t-serrago-3385957
21,Nestor Breitenbruch,13/09/1995,Argentina,,183,Derecho,Defensor central,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/224521.jpg?size=120x&lossy=1,https://www.besoccer.com/player/n-breitenbruch-224521
22,Gonzalo Mottes,07/01/1998,Argentina,Italiana,192,Izquierdo,Defensor central,,Aldosivi,LPF,Masculino,https://cdn.resfu.com/img_data/players/medium/890222.jpg?size=120x&lossy=1,https://www.besoccer.com/player/g-mottes-890222
